1234567890->PUNTOS: {0} / {1}	POINTS : {0} / {1}	PUNKTE: {0} / {1}	PUNTI: {0} / {1}	积分：{0} / {1}	ポイント: {0} / {1}	포인트: {0} / {1}	PUNKTY: {0} / {1}	PONTOS: {0} / {1}	БАЛЛЫ: {0} / {1}
TIEMPO: {0}S	TEMPS : {0} S	ZEIT: {0}S	TEMPO: {0}S	时间：{0}秒	時間: {0}秒	시간: {0}초	CZAS: {0} S	TEMPO: {0}S	ВРЕМЯ: {0}С
EFECTIVO: {0}	ESPÈCES : {0}	BARGELD: {0}	CONTANTI: {0}	现金：{0}	現金: {0}	현금: {0}	GOTÓWKA: {0}	DINHEIRO: {0}	НАЛИЧНЫЕ: {0}
¿LISTO?	PRÊT?	BEREIT?	PRONTO?	准备好？	準備ができて？	준비가 된?	GOTOWY?	PREPARAR?	ГОТОВЫЙ?
COLOCAR	ENSEMBLE	SATZ	IMPOSTATO	放	セット	세트	USTAWIĆ	DEFINIR	НАБОР
¡LAZO!	LASSO!	LASSO!	LASSO!	套索！	投げ縄！	올가미!	LASSO!	LAÇO!	ЛАССО!
+Puntos: {0}	+Points : {0}	+Punkte: {0}	+Punti: {0}	+积分：{0}	+ポイント: {0}	+포인트: {0}	+Punkty: {0}	+Pontos: {0}	+Баллы: {0}
+Efectivo: {0}	+Espèces : {0}	+Bargeld: {0}	+Contanti: {0}	+现金：{0}	+現金: {0}	+현금: {0}	+Gotówka: {0}	+Dinheiro: {0}	+Наличные: {0}
¡DÍA {0} COMPLETADO! + {1} ¡EFECTIVO!	JOUR {0} TERMINÉ ! + {1} CASH !	TAG {0} ABGESCHLOSSEN! + {1} BARGELD!	GIORNO {0} COMPLETATO! + {1} CONTANTI!	第 {0} 天完成！+ {1} 现金！	{0}日目完了！+{1} 現金！	{0}일차 완료! + {1} 현금!	DZIEŃ {0} ZAKOŃCZONY! + {1} GOTÓWKA!	DIA {0} CONCLUÍDO! + {1} DINHEIRO!	ДЕНЬ {0} ЗАВЕРШЕН! + {1} НАЛИЧНЫХ!
¡SE ACABÓ EL TIEMPO!	LE TEMPS EST ÉCOULÉ !	DIE ZEIT IST ABGELAUFEN!	TEMPO SCADUTO!	时间到了！	時間切れです！	시간이 다 됐어요!	CZAS SIĘ KOŃCZY!	O TEMPO ACABOU!	ВРЕМЯ ВЫШЛО!
¡UN LLAMADO CERCANO!	IL A ÉTÉ TROUVÉ DE TRÈS PRÈS!	KNAPP DANEBEN!	PER UN CERTO PASSO!	千钧一发！	危機一髪！	아슬아슬한 순간!	BYŁO BLISKO!	POR UM PRAZER!	БЛИЗКИЙ ВЫЗОВ!
